EASINID,Country,Year,Ref
R18899,FR,1766,Viggiani & Battaglia (1983)
R16661,EG,1936,"Burton, M., 1936. the fishery ground near Alexandria. IX. Sponges. Notes and Memoirs of the Fisheries Research Directorate, Cairo 17: 1-28."
R17539,IL,1934,"Salman, A., Katagan, T. & Boletzky, S., 1999. New Cephalopod molluscs in the eastern Mediterranean: previously unnoted species or recent migrants? Vie et Milieu, 49: 11-17."
R16534,TR,2005,"Stohr, S., Cinar, M.E. & Dagli, E., 2010. Brittle stars (Echinodermata: Ophiuroidea) from the southern coast of Turkey (Eastern Mediterranean): New records and revision of Amphiodia obtecta Mortensen, 1940. Zootaxa 2483: 45-57."
R16535,IL,1944,"Tortonese, E., 1953-1954. Gli Echinodermi viventi presso le coste dello Stato di Israele. (Mar di Levante, Golfo di Elath). Bolletino dei Musei di Zoologia e di anatomia comparata della R. Universita di Torino 4(4): 39-72."
R00867,EL,1974,"Hollaus, S.S. & Hottinger, L., 1997. Temperature dependence of endosymbiotic relationships? Evidence from the depth range of Mediterranean Amphistegina lessonii (Foraminiferida) truncated by the thermocline. Eclogae geologicae Helvetiae, 90: 591-597."
R20269,IT,2014,"Zenetos A, Alabno PG, López Garcia E, Stern N, Tsiamis K and Galanidi M, 2022. Established non-indigenous species increased by 40% in 11 years in the Mediterranean Sea. Mediterranean Marine Science, 23(1). https://doi.org/10.12681/mms.29106"
R20268,IL,2002,"Zenetos A, Alabno PG, López Garcia E, Stern N, Tsiamis K and Galanidi M, 2022. Established non-indigenous species increased by 40% in 11 years in the Mediterranean Sea. Mediterranean Marine Science, 23(1). https://doi.org/10.12681/mms.29106"
R00869,TR,1959,"Emery, K.O. & Neev, D., 1960. Mediterranean beaches of Israel. Isr. Geol. Surv., Bull. 26, 23 pp."
R00871,DE,1930,Enghoff (1987) Entomol. Meddel. 54: 147–148.
R16536,FR,1964,"Goy, J., 1972. Les Hydromeduses de la mer Ligure. Bulletin du Museum National d’Histoire Naturelle, Paris, ser. 3, 83: 965-1008."
R19514,RU,2010,"Selifonova, 2011"
R00872,UK,1984,UK-E_DB
R17607,TR,2010,"Ozaydinli M.& Colemam CH.O., 2012. Ampithoe bizseli n. sp. (Crustacea, Amphipoda) from the west coast of Turkey. Zootaxa 3388: 17–28"
R19302,PT,1993,"Faase, 2015"
R00875,DK,1902,NOBANIS - European Network on Invasive Alien Species. 
R00876,DK,1977,NOBANIS - European Network on Invasive Alien Species. 
R00877,DK,1916,NOBANIS - European Network on Invasive Alien Species. 
R00878,BE,1924,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00879,BE,1874,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00880,UK,1910,Online Atlas of the British and Irish flora. 
R00881,DK,1894,NOBANIS - European Network on Invasive Alien Species. 
R00883,BE,1877,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R20141,SE,2020,GBIF
R00892,DE,1989,"Stresemann E. (1989) Exkursionsfauna von Deutschland, Band 2: Wirbellose: Insekten. Springer"
R00893,DE,1900,"Weidner H, 1981, Einschleppung von Heuschrecken (Saltatoria und Phasmida) nach Hamburg., Anz. Schädlkde. Pflanzen-Umweltschutz, 54, 65-67"
R00896,SE,1600,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18494,FR,1934,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R00898,DK,1923,NOBANIS - European Network on Invasive Alien Species. 
R00899,BE,1913,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18218,TR,1998,"Ceviker, D. & Albayrak, S., 2002. New record of an exotic Bivalve from the southeastern coast of Turkey: Scapharca inflata (Reeve,1844). La Conchiglia, 305: 56-60."
R16538,IT,1966,"Ghisotti, F., 1973. Scapharca cfr. Cornea (Reeve), ospite nuova del Mediterraneo. Conchiglie, 9(3-4): 68."
R00902,IL,1935,"Haas, G., 1937. Mollusca marina. In: Bodenheimer F.S. (ed.). Prodromus faunae Palestinae, pp. 275-280, Memoires de l'Institut d'Egypte."
R00903,TR,1972,"Demir, M., 1977. On the presence of Arca (Scapharca) amygdalum Philippi, 1847 in the harbour of Izmir, Turkey. Istanbul Universitesi Fen Fakultesi Mecmuasi Ser. B, 42: 197-202, 1 pl."
R17705,UK,1906,Stoev et al. (2010) Biorisk 4: 97-130
R17692,UK,1900,Stoev et al. (2010) Biorisk 4: 97-130
R18258,DK,1648,NOBANIS - European Network on Invasive Alien Species. 
R00907,CZ,1953,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R16917,PT,1993,Rasplus et al. (2010) BioRisk 4: 669–776
R00911,IT,1983,Viggiani G. & Battaglia (1983) Boll. Lab. Entomol. Agraria 'Filippo Silvestri' Portici 40: 109-114
R00912,PT,1994,Rasplus et al. (2010) BioRisk 4: 669–776
R16919,PT,1994,Rasplus et al. (2010) BioRisk 4: 669–776
R00913,UK,1709,Online Atlas of the British and Irish flora. 
R00914,IT,1977,Arzone & Vidano C (1978) Inform. Agr. 34: 2741 - 2744
R00915,ES,2009,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp."
R00917,ES,2009,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp."
R00920,ES,2003,"Zur Strassen R (2003) Die terebranten thysanopteren Europas und des Mittelmeer-Gebietes. Die Tierwelt Deutschlands 74. Keltern, Germany: Verlag Goecke and Evers. 277 pp."
R00921,BE,1957,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00922,UK,1959,"Emmet, A.M., Langmaid, J.R. (2002) the moths and butterflies of Great Britain and Ireland (Vol 4, part 2) 1-277:225"
R19726,UK,2003,"DAISIE, 2003. European Invasive Alien Species Gateway. http://www.europe-aliens.org (Accessed 15 April 2011)"
R00925,UK,1998,"Mullarney K, Svensson L, Zetterstrom D And Grant Pj (1998). Collins Bird Guide. Harpercollins Pub Ltd"
R00926,DE,1996,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R00927,DE,1998,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R00928,DE,2002,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R00931,DE,2002,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R00932,DE,1999,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R00933,DE,1998,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R01076,ES,1970,"Martín, A. & Lorenzo, J. A. 2001. Aves Del Archipiélago Canario. Francisco Lemus Editor"
R00935,DE,1999,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R19722,UK,1906,"Banks AN, Wright LJ, Maclean IMD, Rehfisch MM, 2008. Review of the Status of Introduced Non-Native Waterbird Species in the Area of the African-Eurasian Waterbird Agreement: 2007 Update. BTO Research Report No. 489 to the AEWA Secretariat. BTO, Thetford, UK."
R00937,DE,1998,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R00939,DE,1998,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R19767,DE,1985,"Snow D, Perrins C, 1998. The birds of the western Palearctic (Volume 1). Oxford Uni Press, New York, USA."
R00944,SE,2005,http://svalan.artdata.slu.se/rappsyst/
R00946,DE,2002,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R20286,UK,2020,"Roy H, Rorke S, Wong L J, Pagad S (2020). Global Register of Introduced and Invasive Species - Great Britain. Version 1.7. Invasive Species Specialist Group ISSG. Checklist dataset https://doi.org/10.15468/8rzqvw accessed via GBIF.org on 2023-06-06. "
R19712,UK,1850,"Snow D, Perrins C, 1998. The birds of the western Palearctic (Volume 1). Oxford Uni Press, New York, USA."
R19741,UK,2007,"Banks AN, Wright LJ, Maclean IMD, Rehfisch MM, 2008. Review of the Status of Introduced Non-Native Waterbird Species in the Area of the African-Eurasian Waterbird Agreement: 2007 Update. BTO Research Report No. 489 to the AEWA Secretariat. BTO, Thetford, UK."
R00953,DE,1998,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R00956,HU,1920,Ruschka (1921) Verhandl.Zool.-Bot. Gesell.Wien 70: 234–315
R00957,IT,1999,Russo et al. (2000) Boll. Zool. Agr. Bachic. Ser.II 32: 239-243.
R01057,DK,1996,"Hansen,M. 1996. Katalog over Danmarks biller. Ent.Meddr.64(1&2)"
R00962,ES,2002,"EPPO reporting service n.03 - 2010, 2010/058"
R00963,PT,1999,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668
R00965,DE,1928,Verhoeff (1928) Zool. Anz. 79: 58–64.
R00966,SE,1986,Nobanis (2013)
R00968,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00969,AT,1501,NOBANIS - European Network on Invasive Alien Species. 
R00970,UK,1866,Online Atlas of the British and Irish flora. 
R00974,UA,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00975,AT,1700,NOBANIS - European Network on Invasive Alien Species. 
R00977,UK,1799,Online Atlas of the British and Irish flora. 
R00979,UA,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00981,DK,1989,NOBANIS - European Network on Invasive Alien Species. 
R00986,BE,1947,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00987,UK,1735,"Fitton MG, de V. Graham MWR, Boucek ZRJ, Fergusson NDM, Huddleston T, et al. (1978) Hymenoptera. In Kloet GS, Hincks WD (eds). A checklist of British insects. Handbooks for the identification of British insects, 2nd ed. London: Royal Entomological Society"
R00988,UK,1978,"Fitton MG, de V. Graham MWR, Boucek ZRJ, Fergusson NDM, Huddleston T, et al. (1978) Hymenoptera. In Kloet GS, Hincks WD (eds). A checklist of British insects. Handbooks for the identification of British insects, 2nd ed. London: Royal Entomological Society"
R00989,UK,1735,"Fitton MG, de V. Graham MWR, Boucek ZRJ, Fergusson NDM, Huddleston T, et al. (1978) Hymenoptera. In Kloet GS, Hincks WD (eds). A checklist of British insects. Handbooks for the identification of British insects, 2nd ed. London: Royal Entomological Society"
R00990,UK,1735,"Fitton MG, de V. Graham MWR, Boucek ZRJ, Fergusson NDM, Huddleston T, et al. (1978) Hymenoptera. In Kloet GS, Hincks WD (eds). A checklist of British insects. Handbooks for the identification of British insects, 2nd ed. London: Royal Entomological Society"
R00991,UK,1978,"Fitton MG, de V. Graham MWR, Boucek ZRJ, Fergusson NDM, Huddleston T, et al. (1978) Hymenoptera. In Kloet GS, Hincks WD (eds). A checklist of British insects. Handbooks for the identification of British insects, 2nd ed. London: Royal Entomological Society"
R00992,DE,1929,"Geiter, O.; Homma, S.; Kinzelbach, R. 2002. Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland. Texte Des Umweltbundesamtes 2002 (25), 174 + 36 + 31 + 52 P."
R00994,FR,1950,"EPPO (2018) Pest risk analysis for Andropogon virginicus. EPPO, Paris."
R00995,NO,1888,NOBANIS - European Network on Invasive Alien Species. 
R18357,LV,1904,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00997,LV,1926,NOBANIS - European Network on Invasive Alien Species. 
R01001,UK,50  ,Schoeb et al (2007)
R01002,AT,1945,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01004,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01007,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01009,FR,1867,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01011,DK,1972,NOBANIS - European Network on Invasive Alien Species. 
R12662,CZ,1852,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01015,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01016,NO,1892,NOBANIS - European Network on Invasive Alien Species. 
R01017,DK,1981,NOBANIS - European Network on Invasive Alien Species. 
R18462,DK,1989,NOBANIS - European Network on Invasive Alien Species. 
R18457,IE,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01018,EE,1777,NOBANIS - European Network on Invasive Alien Species. 
R01019,DK,1949,Nobanis (2013)
R01021,CZ,1517,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R16358,IL,1950,"Mienis, H.K., 1980a. Planaxis lineolatus Gould. Another Indo-Pacific species from the Mediterranean coast of Israel. Levantina, 28: 324."
R20280,ES,2022,"Martin-Alonso A, Abreu-Yanes E, Feliu C, Mas-Coma S, Bargues MD, Valladares B, Foronda P. Intermediate hosts of Angiostrongylus cantonensis in Tenerife, Spain. PLoS One. 2015 Mar 24;10(3):e0120686. doi: 10.1371/journal.pone.0120686. PMID: 25803658; PMCID: PMC4372438."
R20085,RO,2007,"Paunović M, Csányi B, Simonović P, Zorić K. Invasive alien species in the Danube. InThe Danube River Basin 2015 (pp. 389-409). Springer, Berlin, Heidelberg."
R01026,UK,1980,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)"
R01027,IT,2008,DAISIE-terr
R18171,IT,1982,Paggi L. et al. (1982) Parassitologia 24: 139-144.
R01029,FR,1985,Dupont F. and Petter A.J. (1988) Bull. Fr. Pêche Piscic. 308 : 38-41.
R01028,IT,1982,Moravec F. and Taraschewski H. (1988) Folia Parasitologica 35: 125-146.
R01030,EE,1971,Krall E. and Krall H. (1971) Faunistilisi Markmaid Tartu 1 (4/5): 281-284.
R01031,SE,1920,Byars L.P. (1920) USDA Bulletin 842.
R01032,IE,1906,"Fitter, R.S.R., 1959. the Ark in our Midst. the Story of the Introduced Animals of Britain: Birds, Beasts, reptiles, Amphibians, Fishes. London, Collins."
R01034,HR,1977,Hoffer (1970) Studia Entomol.Forest. 1: 151–170.
R16540,LB,2003,"Bariche, M. & Trilles, J.P., 2006. Anilocra pilchardi n. sp., a new parasitic cymothoid isopod from off Lebanon (Eastern Mediterranean). Systematic Parasitology, 64:203-214."
R19562,UA,2007,"Terekhova and Skrylnik, 2012"
R01037,DE,1901,"Kraepelin K, 1901, Ueber die durch den Schiffsverkehr in Hamburg eingeschleppten Tiere, 2. Beih. Jb. Hamburg. Wiss. Anst., 18, 183-209"
R01038,UK,1959,"British Lichen Society - BLS Mapping Scheme dataset, 1750-2009"
R01039,IT,2005,Reynaud (2010) BioRisk 4: 767–791.
R16921,AT,1911,Ruschka (1921) Verhandl.Zool.-Bot. Gesell.Wien 70: 234–315
R20013,IT,2010,"Mori E, Magoga G, Panella M, Montagna M, Winsor L, Justine JL, Menchetti M, Schifani E, Melone B, Mazza G, 2021. Discovering the Pandora’s box: the invasion of alien flatworms in Italy. Biological Invasions. Sep 26:1-2. "
R20287,ES,2000,"Mezquita, F., A. Sanz-Brau & G. Wansard, 2000. Habitat preferences and population dynamics of Ostracoda in a helocrene spring system. Canadian Journal of Zoology 78: 840-847. "
R20142,ES,2005,"Gallego PPF, Lumbreras EL, 2019. Sobre la presencia de Annona cherimolia Mill.(Annonaceae) como especie asilvestrada en la flora valenciana. Flora Montiberica 74: 96-98"
R01043,SE,1935,NOBANIS - European Network on Invasive Alien Species. 
R01047,ES,2011,"Base de Datos de Especies Introducidas en Canarias, 2011. Gobierno de Canarias. http://www.interreg-bionatura.com/especies/index.php?opt=verDatos#"
R01048,ES,2011,"Base de Datos de Especies Introducidas en Canarias, 2011. Gobierno de Canarias. http://www.interreg-bionatura.com/especies/index.php?opt=verDatos#"
R01049,ES,2011,"Base de Datos de Especies Introducidas en Canarias, 2011. Gobierno de Canarias. http://www.interreg-bionatura.com/especies/index.php?opt=verDatos#"
R01050,ES,2011,"Base de Datos de Especies Introducidas en Canarias, 2011. Gobierno de Canarias. http://www.interreg-bionatura.com/especies/index.php?opt=verDatos#"
R18148,ES,2011,"Base de Datos de Especies Introducidas en Canarias, 2011. Gobierno de Canarias. http://www.interreg-bionatura.com/especies/index.php?opt=verDatos#"
R01051,NL,1935,"Van Benthem Jutting, W.S.S., 1936. Over de Anomia's of Paardenzadels van het Nederlandsche strand. Basteria 1 : 17-19."
R01055,TR,*   ,Mehlhorn (2008)
R01056,EG,1936,"Helfer, H., 1936. the fishery grounds near Alexandria (Egypt), VII. Pantopoda. Notes and memoirs, Ministry of Commerce and Industry, Fisheries Research Directorate, Egypt 16, 1-6."
R16541,IL,1951,"Stock, J.H., 1958. Pycnogonida from the Mediterranean coast of Israel. the Bulletin of the Research Council of Israel 7B(3/4): 137-142."
R01059,UK,1953,Rasplus et al. (2010) BioRisk 4: 669–776
R01060,IT,2000,Colombo & Limonta (2001) Boll. Zool. Agr.Bachic. II Ser 33: 65–68
R01061,AT,2001,Dauber & Mitter (2001) Beitr. z. Naturk. Oberösterreichs 10: 503–508
R01064,FR,1943,"Feldmann, J., 1943. Les algues marines de la cote des Alberes, IV. Ceramiales. Traveaux Algologiques 1: 29-113."
R01066,PT,2005,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01067,PT,2005,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01068,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01069,UK,2002,Dudley Sp (2005). Changes To Category C Of the British List. Ibis 147: 803-820.
R01070,BE,1971,Long Jl (1981). Introduced Birds Of the World. Universe Books. New York. 528 pp.
R01072,UK,1991,Audit Of Non-Native Species In England Url: Http://Www.English-Nature.Org.Uk/Pubs/Publication/Pdf/662.Pdf
R01073,DE,1854,Bestandsaufnahme Und Bewertung Von Neozoen In Deutschland (2002)
R01074,NL,2002,"Van Dijk A. J., Van Der Weide M., Kleefstra R., Zoetebier D. & Plate C. (2003) Kolonievogels En Zeldzame Broedvogels In Nederland In 2002. Sovon-Monitoringrapport 2001/08. Sovon, Beek-Ubbergen."
R01075,FI,1960,Long Jl (1981). Introduced Birds Of the World. Universe Books. New York. 528 pp.
R01077,DE,1933,Http://Www.Unep-aewa.Org/Meetings/En/Mop/Mop2_Docs/Wrd/Infodocs/Inf2_17_Non_Native.Doc
R19762,UK,1996,"Banks AN, Wright LJ, Maclean IMD, Rehfisch MM, 2008. Review of the Status of Introduced Non-Native Waterbird Species in the Area of the African-Eurasian Waterbird Agreement: 2007 Update. BTO Research Report No. 489 to the AEWA Secretariat. BTO, Thetford, UK."
R01078,FR,1999,"Rasplus J-Y & Roques A, 2010, Dictyoptera (Blattodea, Isoptera), Orthoptera, Phasmatodea and Dermaptera., BioRisk, 4, 807-831"
R18211,IT,1968,"Schmekel, 1968"
R18435,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01081,DK,1700,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01083,DK,1642,NOBANIS - European Network on Invasive Alien Species. 
R01085,DK,1951,NOBANIS - European Network on Invasive Alien Species. 
R01086,UK,1923,Online Atlas of the British and Irish flora. 
R01087,PL,1869,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R16923,ES,1954,Rasplus et al. (2010) BioRisk 4: 669–776
R01093,ES,1900,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668
R01095,SI,1866,Casale A (1973) Popolazione di Antheraea yamamai (Guér.Mén.) spontaneamente ambientatain peculiare autonomo biotopo italiano (Lep. Saturniidae). Annali della facoltà di Scienzeagrarie dell’Università di Torino 8: 309–324.
R01096,UA,1501,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01099,IT,1982,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01100,SE,1986,Nobanis (2013)
R16924,IT,1991,Rigamonti & Lozzia (1999) Acta Horticulturae 496: 177-182
R16925,RS,1989,Petanović (1997) Allochthonous mite species (Acari) in the Fauna of Yugoslavia. Plant protec. 48: 211-224
R01101,CZ,1962,"Rabitsch W, 2010, True Bugs (Hemiptera, Heteroptera)., BioRisk, 4, 407-433"
R16926,CZ,1953,"Rabitsch W, 2010, True Bugs (Hemiptera, Heteroptera)., BioRisk, 4, 407-433"
R19563,NL,2012,"EPPO reporting service n.10 - 2012, 2012/203"
R17901,UK,1979,UK-E_DB
R01104,UK,1980,"Francis, Minter & Caine, Trans. Br. mycol. Soc. 75(2): 203 (1980)"
R01105,NL,1837,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01106,LV,1898,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01108,UK,1933,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01109,LV,1941,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01110,UK,1983,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01112,PL,1935,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01113,PL,1955,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01114,DK,1976,Nobanis (2013)
R01115,PT,2005,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01116,CZ,2004,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R01118,SE,1896,Nobanis (2013)
R01120,SE,1896,Nobanis (2013)
R01121,FI,1700,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01122,DK,1688,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01126,EE,1784,NOBANIS - European Network on Invasive Alien Species. 
R01127,IS,1923,NOBANIS - European Network on Invasive Alien Species. 
R01129,DE,1943,Staatliche Naturwissenschaftliche Sammlungen Bayerns: Fungus Collections at Staatliches Museum für Naturkunde Karlsruhe (Herbarium KR). Accessed via http://www.gbif.org/occurrence/786091720
R01130,NO,1933,NOBANIS - European Network on Invasive Alien Species. 
R18797,BE,1866,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01131,SE,1700,NOBANIS - European Network on Invasive Alien Species. 
R01133,UK,1956,Online Atlas of the British and Irish flora. 
R01136,TR,1988,"Engl, W. & Ceviker, D., 1999. New migrant species from southeast Turkey Psammotreta praerupta (Salisbury, 1934) and Antigona lamellaris Schumacher, 1817. La Conchiglia, 290: 17-20."
R01137,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R19911,BE,1975,DAISIE
R01141,DE,1401,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01142,EL,2006,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01143,EL,1972,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R17764,IT,2006,Nieukerken van EJ et al. (2012) ZooKeys 170 : 29-77
R01144,DZ,1989,"Verlaque, M. & Seridi, H. 1991, Bot. Mar., 34, 153."
R01145,NL,1964,"Stegenga, H. & Vroman, M., 1976. the morphology and life history of Acrochaetium dOlsum (DREW) PAPENFUss (Rhodophyta, maliales). Acta Bot. Neerl. 25: 257-280."
R01146,PT,1989,"Athanasiadis, A., & Tittley, I., 1994. Antithamnioid algae (Rhodophyta, Ceramiaceae) newly recorded from the Azores. Phycologia, 33(2), 77-80."
R16543,FR,1988,"Verlaque, M. & Riouall, R., 1989. Introduction de Polysiphonia nigrescens et d’Antithamnion nipponicum (Rhodophyta, Ceramiales) sur le littoral mediterraneen francais. Cryptogamie, Algol. 10: 313-323."
R01148,DZ,1937,"Mazoyer, G. & Feldmann J., 1937. Additions à la flore des algues marines de l'Algérie. Bulletin de la société d'histoire naturelle de l'Afrique du Nord 28: 318–321."
R01149,IT,1961,Funk 1961
R01150,FR,1914,"Ribera, M.A. & Boudouresque, C.F., 1995. Introduced marine plants, with special reference to macroalgae: mechanisms and impact. Progress in Phycological Researches 11: 187-268."
R01151,IT,1987,"Siguan Ribera, M.A., 2002. Review of non-native marine plants in the Mediterranean Sea. In: Leppakoski E, Gollasch S, Olenin S (eds), Invasive aquatic species in Europe. Distribution, Impacts and Management. Kluwer Academic Publishers, Dordrecht, the Netherlands, pp 291-310."
R01152,UK,1906,"Maggs, C.A. & Hommersand, M.H., 1993. Seaweeds of the British Isles: Volume 1 Rhodophyta, Part 3A Ceramiales, 2 edn. Natural History Museum, London."
R01153,FR,1937,Pellizzari & Germain (2010) BioRisk 4: 475-510
R01154,IT,1992,Pellizzari & Germain (2010) BioRisk 4: 475-510
R01158,CZ,1964,Tenora F. (1964) Fol Zool 13: 88-89.
R01160,IT,1881,Pellizzari & Germain (2010) BioRisk 4: 475-510
R01161,IT,1994,Pellizzari & Germain (2010) BioRisk 4: 475-510
R18000,PT,1941,Daisie (2013)
R01163,IT,1906,Pellizzari & Germain (2010) BioRisk 4: 475-510
R01164,PT,1936,Pellizzari & Germain (2010) BioRisk 4: 475-510
R19335,FR,2009,"Gouillieux et al., 2015"
R19336,FR,2013,"Gouillieux et al., 2015"
R19337,FR,2009,"Gouillieux et al., 2015"
R01166,PL,2013,Nobanis database: http://www.nobanis.org/speciesInfo.asp?taxaID=12837
R20143,PT,2020,GBIF
R01167,IS,2001,"Icelandic Institute of Natural History, databases of invertebrates, Reykjavík, Iceland."
R16544,EG,1940,"Larwood, H.J.C., 1940. the Fishery grounds near lexandria. XXI. Tanaidacea and Isopoda. Fouad I. Institute of Hydrobiology and Fsheries: Notes and Memoirs, 35: 1-72."
R19552,FR,1973,Liu (2010)
R19543,UK,1978,Baker & Berry 1978
R17248,BG,1987,www.blacksea-commission.org/_tda2008-annexes.asp
R01169,BE,1907,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R01170,UK,1848,Online Atlas of the British and Irish flora. 
R01172,SE,1856,NOBANIS - European Network on Invasive Alien Species. 
R16927,PT,2005,Rasplus et al. (2010) BioRisk 4: 669–776
R16928,ES,1860,Sauvard et al. (2010): BioRisk 4: 219-266
R16929,ES,1860,Sauvard et al. (2010): BioRisk 4: 219-266
R16930,PT,1972,Sauvard et al. (2010): BioRisk 4: 219-266
R16931,ES,1928,Sauvard et al. (2010): BioRisk 4: 219-266
R16932,PT,1972,Sauvard et al. (2010): BioRisk 4: 219-266
R01175,NO,1870,NOBANIS - European Network on Invasive Alien Species. 
R01176,DE,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R20288,EL,2010,"Koukouras, A. (2010). Check-list of marine species from Greece. Aristotle University of Thessaloniki. Assembled in the framework of the EU FP7 PESI project."
R16933,BE,1994,Dessart (1994) Bull. Instit. Royal Sc. Nat. Belgique Entomol. 64: 49–103
R01179,IT,1860,"Edgerton, B.F. 2004. Conservation Biology 18: 1466-1474."
R01180,FR,1932,"Papavizas, G. C. and Ayers, W. A. (1974). Technical Bulletin, United States Department of Agriculture (No.1485): 158pp"
R01182,HU,1970,Javor I. (1970) Novényvédelem 6: 259-263.
R01183,IE,1969,Duggan J.J. (1969) Farm Research News 10 (6): 134-136.
